amfi_code,cagr_1y,cagr_3y,cagr_5y,sharpe_ratio,sortino_ratio,alpha,beta,r_squared,max_drawdown,cagr_rank,sharpe_rank,alpha_rank,dd_rank,fund_score
100016,-0.033055090768621787,-0.00031627759670682654,,-0.20151706755966933,-0.35104746015230903,0.03747580763443281,-0.0582684314388089,0.002665032698133324,-0.24734440880673303,36.0,35.0,39.0,34.0,4.191616766467062
100025,0.025017601049311722,0.046143288414864925,,-0.5670947928476847,-0.9418212366054207,0.042817920315060876,0.0011582183155281463,1.4612842041845034e-05,-0.04308263824636349,33.0,39.0,38.0,4.0,13.772455089820365
100033,0.4773458959806238,0.3362921056230763,,1.0936987435346308,1.8291339615146942,0.2719535450128533,0.0051035258305283104,1.2066520635068168e-05,-0.16217208574644848,2.0,7.0,6.0,20.0,94.01197604790418
101206,0.4509392715300502,0.32528591355184844,,1.0272133278753697,1.7995628746984524,0.21399784776051212,0.02108631625012803,0.0003480482030714251,-0.11291596329323073,3.0,9.0,12.0,9.0,90.71856287425149
101207,-0.24242050015436856,-0.026964750873929244,,0.16266076928646758,0.27664379626092334,0.10897091901704538,-0.06528924788351524,0.0010641052735572622,-0.3544691649336603,39.0,28.0,27.0,38.0,12.874251497006
101208,0.0685429952818637,0.060761500834302096,,-0.8155673679088286,-1.6810378667512837,0.060861457957871144,0.00026670968338238433,4.6076236771052326e-05,-0.0016224980244717857,31.0,40.0,33.0,3.0,18.562874251497004
102885,0.18318548216870223,0.17520119946365442,,0.8170993373494371,1.4357420130649492,0.17048756803412696,-0.019486785689474526,0.00038285030730923834,-0.1085986215250232,19.0,16.0,19.0,7.0,61.67664670658684
102886,-0.13226101829615933,-0.01832224809009908,,-0.20583160785470306,-0.34722230254727277,0.028969397866379445,-0.04212502902189432,0.0008964294600687582,-0.2800112356639287,38.0,36.0,40.0,35.0,0.0
102887,0.1272785953848785,0.2566304169554934,,0.6195175900829829,1.0887552508030014,0.16211256794033255,0.016682689437770827,0.00018619166432850165,-0.21539827112383225,9.0,22.0,21.0,30.0,60.17964071856288
118632,0.21776763418747302,0.18088593620415083,,1.0816591793457044,1.8501325468557264,0.21829397904608644,-0.008353832126962021,5.7917562701278335e-05,-0.17414075086657232,17.0,8.0,11.0,23.0,71.25748502994011
118633,0.28406736513935327,0.18128823270614958,,0.6452074382933216,1.1544757169236237,0.15643835948169668,-0.03663900671860934,0.0011382947171084282,-0.18629743138595511,16.0,21.0,22.0,26.0,53.293413173652695
118634,0.2236521211328215,0.0758063522976058,,0.44843400890899143,0.7460146308533572,0.1750072167561127,0.1034966369133759,0.0027930065610663243,-0.2334488614483311,28.0,26.0,18.0,32.0,35.029940119760475
118635,0.21995365120873123,0.16236841860639406,,0.664856998549062,1.137976718780742,0.1513635464823924,-0.001433521389780133,2.0253408972328425e-06,-0.1165062450540909,22.0,19.0,23.0,10.0,52.09580838323353
118636,0.10622598136417083,0.04152061472814461,,-0.3566295075143679,-0.6135251287271027,0.05074772999976104,0.0012566742731558458,1.651665231033275e-05,-0.08316361763638702,34.0,38.0,35.0,6.0,14.670658682634727
119092,0.034029890817970365,0.005559688070353008,,0.030784850954585913,0.05257398559304797,0.0689952982167755,0.009730745001153637,8.082637693810774e-05,-0.1440161790933726,35.0,31.0,30.0,15.0,20.059880239520965
119093,0.19794246952869954,0.20575450839484977,,0.1296144979566933,0.22108683979276347,0.08232801295222093,0.02588321244009315,0.0005692038090244872,-0.21751396370148224,14.0,29.0,28.0,31.0,43.4131736526946
119094,0.30918202012534524,0.3606601747719518,,0.9982309868636414,1.7037974802463003,0.2607666908004223,-0.06626542862803757,0.001936878936960232,-0.20960883862039192,1.0,11.0,9.0,28.0,87.42514970059881
119095,-0.454228926346248,-0.11065546853000663,,-0.07597357117478937,-0.12818559275851932,0.048015953637759554,-0.066951174639292,0.0011851593464486715,-0.5167775370852656,40.0,33.0,37.0,39.0,0.8982035928143841
119120,0.0572307956371807,0.05606028649588968,,-0.2265753866279158,-0.3767670081706672,0.05620895216638369,-0.006413850728276477,0.00043426033217200524,-0.04328728923970093,32.0,37.0,34.0,5.0,18.862275449101798
119551,0.48883881388717176,0.27727427651752534,,1.208266567372718,2.140267129061793,0.23201007160635082,-0.03175144113890972,0.0008869788879322809,-0.1501238549864533,8.0,4.0,10.0,17.0,88.02395209580838
119552,0.08251685485100624,0.15383382573944893,,0.9532794968660105,1.609776489628308,0.1986859936686296,-0.026159307513513405,0.0005850821704543426,-0.11803493502764295,23.0,12.0,15.0,11.0,61.67664670658682
119598,0.8453224636924352,0.27814418371202754,,0.9453082575156094,1.6753165700125516,0.3033696538698332,-0.023196062044059693,0.0001414257550272171,-0.2870600572176455,7.0,14.0,1.0,36.0,79.94011976047905
119599,0.1190796983675011,-0.006866124385353167,,-0.05718662582818005,-0.09438726129459607,0.048824215945539845,0.06200180438267168,0.0010259205326765965,-0.5257422117012851,37.0,32.0,36.0,40.0,5.6886227544910355
120503,0.04807407420549259,0.1480416951560286,,0.7979728586052847,1.3379431500669237,0.17703302365844073,-0.0402689523698206,0.001397444608331861,-0.13897862823061635,24.0,17.0,17.0,14.0,53.89221556886228
120504,0.11500730028249406,0.28369809430069837,,1.0265242847993001,1.8052937940992548,0.2119482701352573,0.016232169761417007,0.00021216129075887457,-0.12588275606922517,6.0,10.0,13.0,12.0,84.7305389221557
120505,0.3035341170540422,0.30206534630200976,,1.1801011976606492,2.0293529404657464,0.2926358334175106,0.000549004250631712,1.3455341675668847e-07,-0.18188513572116294,5.0,5.0,3.0,25.0,92.51497005988024
120506,0.3289620693417177,0.18246287427399865,,0.6488787755249532,1.0958951614736467,0.1625385327998104,0.04189646272811977,0.0012571178108220743,-0.1982565826298267,15.0,20.0,20.0,27.0,56.287425149700596
120507,0.07014400079311978,0.07051904540600296,,0.49572339295331147,1.0521238822609293,0.06746210411099539,-0.0004440926329707234,0.00013430661440679868,-0.0009773140045925555,29.0,23.0,31.0,1.0,38.02395209580838
120841,0.18155118861657193,0.16684258851596145,,0.4942725378672354,0.8625738849916581,0.13042924450705445,0.036356399022199795,0.0012113711061211869,-0.1757361416468729,20.0,24.0,25.0,24.0,44.610778443113766
120842,0.18605448815462422,0.10040620430039637,,0.07599984804658912,0.12469346986475664,0.0780443887615508,0.01805687420811816,0.0001691554883831436,-0.24003511326274884,27.0,30.0,29.0,33.0,25.748502994011968
120843,0.2848107293384283,0.2566188265022562,,1.3067439695428407,2.364320032166718,0.27330465038306057,-0.02282956979242654,0.00034305434271514465,-0.1297396816518679,10.0,2.0,5.0,13.0,91.61676646706589
120844,0.06837152766088916,0.0654165743882027,,-0.08874729621557495,-0.1877230477424232,0.06455677495375998,-0.00040074423947840013,0.00010125435692271723,-0.0011629327956168556,30.0,34.0,32.0,2.0,26.047904191616766
